, TLL06, TLL05, TLL04, TLL03, TLL02, TLL01, TBAL4, TBAL3, TBAL2, TBAL1, TBPL4, TBPL3, TBPL2, TBPL1, TL10, TL09, TL08, TL07, TL06, TL05, TL04, TL03, TL02, TL01, TR01, TR02, TR03, TR04, TR05, TR06, TR07, TR08, TR09, TR10, TBPR1, TBPR2, TBPR3, TBPR4, TBAR3, TBAR4, TLR01, TLR02, TLR03, TLR04, TLR05, TLR06
 TLL06,0.0,1.0158626149484964,1.014882285247736,1.0114617572221454,1.0197905046620033,1.0334403086041748,1.0250864570408085,1.030469248895392,1.0766009650805493,1.0521453128653466,1.0568142960473264,1.0126451677312864,1.014931136090274,1.0548329787687154,1.0380711533689742,4.191051178763505,4.548619981001651,1.0800514000571124,1.1285510934607588,1.0759682123606005,1.0192267451125256,1.0356691779735863,1.0795621042671522,1.2491175756253288,1.0462510360906745,1.033560379445226,1.0291696704086943,1.03041590115419,1.0225477945323913,1.09857637642545,1.1137197125418097,1.1301765258341172,1.0766892782558,7.815302586648577,1.6067421447551733,1.0227157510435345,1.040767664970533,1.1092936502205015,1.7642672325690258,1.0586359766366602,6.363955781468684,1.1234912172840612,1.0390372251113065,5.693345990137508,1.0823642570274876,1.1760543774116285
 TLL05,1.0158626149484964,0.0,1.01383515792468,1.0146233927314754,1.0101102218211817,1.043667152395516,1.019406744564387,1.0148782521921815,1.071203437861963,1.0456790112552472,1.046612780600319,1.0125455744633147,1.0112424328922265,1.0426925370575002,1.0229616701549487,4.325785336668138,4.4676011349526945,1.058661030615854,1.1652208008550236,1.0987451768918934,1.0235167665679443,1.0458860507562378,1.0491335974744322,1.1817568075784433,1.0296601128766278,1.0215868328471265,1.0228837561468351,1.0328105889509986,1.018669617113015,1.1021834231663878,1.118110651405783,1.1373533933468514,1.0646198536266716,9.907489961723899,1.5660515615603015,1.0151334454933947,1.034007289699242,1.1119203417785217,1.8170575983636013,1.053119465037726,6.075616623994656,1.1033113145945495,1.0230135457914575,4.384628859517995,1.0524385619303738,1.1450514806818872
 TLL04,1.014882285247736,1.01383515792468,0.0,1.0102752630727885,1.012259158853647,1.0263128813741038,1.0229748018807312,1.0302227733566114,1.0612305019439285,1.0566424805564645,1.0580955243438794,1.0091624510480213,1.0188753950838305,1.0482388007964958,1.0256215690548847,4.666640902566956,4.642115491207468,1.0760970726125016,1.134887057461861,1.0804492184595362,1.0168983905388271,1.0342011507651958,1.0696914224145866,1.237480501138945,1.0348199558353628,1.0281772939883367,1.0244335758545464,1.0264740930192016,1.017838096150663,1.0845439869169502,1.0965436960560107,1.1112930619388781,1.0871883231318018,7.634269316226948,1.5004870029573305,1.024747366090121,1.0406183366855255,1.112836890785702,1.7952213098371956,1.05913909061895,5.1806601107005,1.1240372112533121,1.023491640059301,4.3713862371065515,1.0617661095334057,1.135580245416575
 TLL03,1.0114617572221454,1.0146233927314754,1.0102752630727885,0.0,1.0087373564901534,1.0182872667748526,1.0223374887550167,1.0340108841198838,1.0556734694320877,1.063672142368175,1.059921784468985,1.0137626719177797,1.0188586529012202,1.055552988036691,1.0358922715881491,4.1850012100941765,4.715613991088739,1.0889471511650552,1.1189111146728834,1.0698637867883485,1.017650096578169,1.033792499705195,1.0810950177612468,1.253111401098603,1.0415470149931823,1.031630091926883,1.0268359641813023,1.031364723411382,1.01979038414508,1.103545746127996,1.1202761646533599,1.1381545636059986,1.0639030105695004,6.4838360352123905,1.5084527254275035,1.012840236909296,1.0238927984909059,1.127277187759368,1.8543927991689748,1.0696519428574158,4.918449823493956,1.1031348946268242,1.024481307310871,4.178255414294895,1.053920916482037,1.1339530176623225
 TLL02,1.0197905046620033,1.0101102218211817,1.012259158853647,1.0087373564901534,0.0,1.0438214244114374,1.0248324398174453,1.0222388621664236,1.0690128421542844,1.041771695882521,1.0450965332108788,1.0119025895274047,1.0148728310049573,1.0538016559287107,1.0337329483728976,4.1597236757020255,4.662808198128741,1.0825541472151985,1.1272936696109512,1.0731284262694831,1.0146342619430326,1.0279331298790437,1.0614248990564956,1.2052060733448693,1.0228000546626457,1.0182157246178458,1.0174587453193562,1.0246208542214157,1.0146113691037881,1.0892238450569693,1.1078972785840366,1.1249029189870519,1.0735292836813375,7.466602006432256,1.5020603838066162,1.012739631195498,1.0356985002145926,1.1157275009189394,1.9357038402720996,1.0566066556147284,4.800794208543324,1.1117861860042944,1.0165822611593311,3.938895418577889,1.0440707681948083,1.1195933242841898
 TLL01,1.0334403086041748,1.043667152395516,1.0263128813741038,1.0182872667748526,1.0438214244114374,0.0,1.047378432895523,1.0750169392442481,1.0555518127634038,1.1380773630510528,1.1116445950998937,1.0446633421665348,1.0532732444408632,1.1001910032287716,1.0611358857912823,4.598691622492091,4.829228483182989,1.1205026943776175,1.1405945404275317,1.0886764767067247,1.0478453658108653,1.0704747162950972,1.1372207381946902,1.3727088350001186,1.0974587502456126,1.0784901176656772,1.0682570691760722,1.0787647401961433,1.058351651612683,1.1802131068585222,1.1951462691077397,1.2162991537213022,1.0642950754802765,7.021804510533382,1.5393166346635268,1.0413378214715296,1.0297837211263268,1.1603464040292713,1.745576327845472,1.1177338681720383,5.3364522985782346,1.1228904598867357,1.0594598437647313,4.640864253296627,1.0946615836527922,1.1859899689993658
 TBAL4,1.0250864570408085,1.019406744564387,1.0229748018807312,1.0223374887550167,1.0248324398174453,1.047378432895523,0.0,1.0228730278083,1.0322282599974335,1.0694691902604978,1.0634491081926416,1.0171377051259307,1.0213865279898926,1.051786597107919,1.0290584869467807,4.158872711427272,4.6712026368420005,1.0714164118446845,1.183318641784944,1.1178792347862236,1.0346498915870546,1.0574298993820628,1.0596825001431678,1.19838094113273,1.0533678290322157,1.0454671748638098,1.044623842794521,1.0505738511050846,1.0380741187976068,1.1088027083718124,1.1209035327517882,1.1389524101766304,1.0975181056384578,7.283874626781932,1.547731107278769,1.0320376407737095,1.0437818150086777,1.1622431017892647,1.786361267248203,1.0760843722491131,5.064743354550817,1.1454181074584524,1.0421814228861972,4.293491742477654,1.0758737031225116,1.1505178937824607
 TBAL3,1.030469248895392,1.0148782521921815,1.0302227733566114,1.0340108841198838,1.0222388621664236,1.0750169392442481,1.0228730278083,0.0,1.085611828788513,1.0296080217840704,1.0425035709214725,1.0155505893854189,1.0117063485273994,1.0403534157363454,1.0401594771717417,4.003447650303273,4.673598449068068,1.0705040976680538,1.1811804367857914,1.1087160043393598,1.0283223904553254,1.0484771640647905,1.0453026378054142,1.1590416803580377,1.0317016586306005,1.024673440071542,1.030088936744976,1.038870996060421,1.0278023324990524,1.1063562779940588,1.1223607276005962,1.1416046480483761,1.0878102686356548,13.000091661925214,1.6400388305452145,1.0258466408590599,1.0536439717362573,1.1104958031935845,1.8698057099993741,1.047445298984178,7.653423366319087,1.1321394944610468,1.042835976519222,5.290229929349733,1.0758763372358873,1.1749995316595885
 TBAL2,1.0766009650805493,1.071203437861963,1.0612305019439285,1.0556734694320877,1.0690128421542844,1.0555518127634038,1.0322282599974335,1.085611828788513,0.0,1.1596501524929073,1.1565106533354184,1.0668977649152227,1.0760610846589551,1.1152853044288211,1.0586013935307421,4.7267317446530575,4.602088721834889,1.1046393128796947,1.2627710892464696,1.1816823208036717,1.0841507399967318,1.1178424368854207,1.10193562765342,1.25574971122739,1.113264262088583,1.1005423987183545,1.095447065121808,1.1051764999615867,1.0876055787131622,1.166723347273671,1.175948226531467,1.1946449131903234,1.1346204496869958,5.748223555674048,1.4942040352829529,1.068285717728803,1.0585576393872815,1.2427394423352744,1.673273058201381,1.1328110276916268,4.267413259470419,1.2125441773381553,1.0794008375188635,3.4845917259330985,1.1099600228639428,1.1558056997031123
 TBAL1,1.0521453128653466,1.0456790112552472,1.0566424805564645,1.063672142368175,1.041771695882521,1.1380773630510528,1.0694691902604978,1.0296080217840704,1.1596501524929073,0.0,1.0507130913436877,1.0303047030686563,1.0366371026934027,1.0659656286918333,1.0697386948808576,4.221663790127904,5.031731753910062,1.0959098702661494,1.177314645081857,1.118395632726382,1.0345285001819478,1.0435646413749426,1.0578540884596463,1.1626106449573033,1.0213021286151431,1.0221240746587439,1.0267709552251454,1.0222235383781466,1.0272101293461768,1.055725613011463,1.0721216303026146,1.0842219379899667,1.1590190218105187,8.643750046515368,1.622924694124982,1.0530662904377437,1.1154283292294003,1.1115269166563602,2.13085070014497,1.0460086208438322,5.750823695468167,1.1968159826968185,1.053917479978292,5.0947653010729566,1.096593032344651,1.163419779002502
