, TLL06, TLL05, TLL04, TLL03, TLL02, TLL01, TBAL4, TBAL3, TBAL2, TBAL1, TBPL4, TBPL3, TBPL2, TBPL1, TL10, TL09, TL08, TL07, TL06, TL05, TL04, TL03, TL02, TL01, TR01, TR02, TR03, TR04, TR05, TR06, TR07, TR08, TR09, TR10, TBPR1, TBPR2, TBPR3, TBPR4, TBAR3, TBAR4, TLR01, TLR02, TLR03, TLR04, TLR05, TLR06
 TLL06,0.0,1.3792857086339916,1.4018357621019677,1.2545204600010516,1.2589835501467312,1.3372395916002935,1.42556144155423,1.997573757658392,1.412083440219367,1.7705125666936679,1.3772361083473106,1.3550134451922486,1.4092729408900528,1.5820607203301988,5.409015703266532,14.404442163567264,8.364327835277477,7.16309779443559,10.470367224042358,8.04729535712588,5.495367032327609,5.86836688995529,3.0659310945154767,1.6637764815516187,3.581510894744443,4.125223000475162,5.286010092790675,5.004194798113158,4.583740239332783,5.575957870644634,4.801901683393495,3.0642392396454246,1.973166717592771,3.520261711185399,2.3474675717321847,3.42157657104162,2.3068195033805328,2.5058455522660372,2.0352477539117553,3.0801139245472813,2.2768647844966923,2.0524293127500353,2.327394141507771,2.073697662371975,2.155418396189653,2.085537793207399
 TLL05,1.3792857086339916,0.0,1.3430754418698265,1.6079951374871495,1.2728104777501312,1.2228293261314924,1.4725605929001848,2.4624988561903813,1.7628100196014809,1.6032154854117344,1.3506336462617756,1.4828833640320007,1.6210463287295964,1.7279141797368962,44.87250380890011,3.3668168525803406,10.354500163630744,49.376219339368866,16.258186020571216,9.429658984587482,4.278982249995813,6.916832261892581,6.1044273031753615,1.7532128242316902,2.9096645793288767,4.1471632932112374,6.361173825295608,6.084467345422089,4.737827492258505,6.393317583788423,4.918147166440264,3.3541645527501305,2.3103205674141294,3.953174921864986,3.182467783316688,5.74392238045495,2.727735485506507,3.4347905866740764,2.6014729769439797,4.292944057035008,2.0948106886048374,1.8049582831735829,2.056920870534287,1.9612255414028326,2.2351713274634983,1.970570001613984
 TLL04,1.4018357621019677,1.3430754418698265,0.0,1.121599657973432,1.384596592546005,1.1759400888693534,1.7169792723975945,2.398667400295375,1.615033636436862,2.1143029761138212,1.4517105292109047,1.5429882304370153,1.6634186374222122,1.6635048134180632,12.221939932652967,2.7763503804176137,7.1425728613631625,8.34568675951155,7.085611789487955,24.315408252023023,4.645332598395601,4.376743692118803,3.28566238986048,1.8006109942965094,4.553880055485132,5.759931801871601,6.979183289052057,6.36735179679263,6.548052391835192,9.893047549997085,8.669324491287908,4.327636449358288,2.5807889725255158,5.210913656087106,2.305753780664318,3.7762766560316834,2.745962590168014,3.5820888937728075,2.7009249326681792,4.088995022533971,1.5475290505276398,1.797001039004304,1.9852964793522145,3.677979399651436,3.0977389738920666,2.5453019387563294
 TLL03,1.2545204600010516,1.6079951374871495,1.121599657973432,0.0,1.2589616430841275,1.1726484272096949,1.897403676675481,2.2298994185433183,1.6593433462667213,1.9062165007838596,1.3800742056956528,1.461247716812657,1.5418664881829585,1.6427234290484196,13.759182370423158,6.275164578288366,24.696419718427045,36.850507295000135,21.934537647399985,7.928146882614919,5.47458932056444,4.806296857189907,2.7510698749430316,1.7660175681576846,4.772387724192875,4.520829868772098,4.890013905209829,4.159028444596923,4.655840616390689,5.107813016683585,5.023294066392805,3.4572481934267434,2.164394148466435,5.404827467535482,1.9838298010389266,3.2969573602921725,2.666242042629578,3.0534495204379244,2.443811640860282,3.3357498774754637,1.4845523775700054,1.7414496660250287,1.9687718956027667,3.658433271468787,2.86977812035192,2.58052551582639
 TLL02,1.2589835501467312,1.2728104777501312,1.384596592546005,1.2589616430841275,0.0,1.0670320498357664,1.6277430559948036,1.836245589944313,1.832321799095112,1.2824835928992875,1.178678880500452,1.2974700770805947,1.379376487031167,1.5335019928874543,6.320020482349119,91.19015477940614,5.23916758615166,4.652472756423382,4.010566380095542,211.18452557598815,6.28645265054768,13.123367525460619,5.395225273226339,1.5645906031501018,2.863439160898215,2.9792592951409698,3.77822851854967,3.4357130038223773,3.3809284840041367,3.891711033998028,3.238838976700863,2.5832978604479995,1.7265860309436047,4.111651809885137,2.643654819593043,4.565573502559363,2.9867155046330196,2.696337346137512,2.2247138295472224,3.5505596597604656,1.6732761593180705,1.7532689603221008,2.0095536208185156,2.258349083932825,2.4011495408272125,2.230891462072682
 TLL01,1.3372395916002935,1.2228293261314924,1.1759400888693534,1.1726484272096949,1.0670320498357664,0.0,1.6180880682261634,1.8864516058547123,1.741790426200044,1.3706957012720924,1.1912434484691836,1.2942269515851277,1.392036702000853,1.4747462947489045,14.76698257258244,6.189271197021543,18.162128448717265,12.980426195192592,10.649003937627493,28.359292159774114,4.342745005362169,5.948144210735219,3.9086329562799182,1.521843460778918,2.863110352863828,3.1147281209540343,3.977848286320741,3.7656650045995206,3.73723549140149,4.197204849206992,3.830417487259984,2.8997418838862066,1.872252237113871,4.0166929776813305,2.41143824799692,3.72525551268398,2.7050026552226814,2.8278075723646987,2.2019321277546493,3.109354959239649,1.4389810946880577,1.5931968708756548,1.7633282351537174,2.516812189732259,2.3886180404985637,2.119502084583897
 TBAL4,1.42556144155423,1.4725605929001848,1.7169792723975945,1.897403676675481,1.6277430559948036,1.6180880682261634,0.0,1.7827703281730662,1.1342002618784857,1.9252071177740007,1.2940869692053794,1.2115911552096055,1.3561288701933223,1.5544123637597609,4.41810838794375,5.002198419484542,14.800633522982038,35.26621715332257,6965.196853723046,9.245245076741098,2.488428608400579,2.7346574837121556,2.556395737329943,1.511079471546415,1.9216585557959247,2.4834071728816136,3.7149173645140268,4.758871567513677,2.6552963109996863,3.379956789791506,3.7525715569653157,2.7015328126817875,2.2509836726097947,2.555093785713393,3.387644291735206,4.2935372812557455,1.923802220609121,1.9519844557413897,1.5717523950841572,2.8989827381615956,2.8659064551948137,2.030263122255731,2.0031496532169433,1.5100352391128558,1.625106408145306,1.6310113887308053
 TBAL3,1.997573757658392,2.4624988561903813,2.398667400295375,2.2298994185433183,1.836245589944313,1.8864516058547123,1.7827703281730662,0.0,2.1094191251472822,1.7800694453923223,1.4509369227048998,1.407916678703217,1.9727303910561031,2.3366650105627484,2.2939486063614365,3.677662712666423,2.4632516585166826,2.4602741949199753,2.7473750306898714,6.050080333104666,53.48396277189215,64.4949799185093,9.375377821470941,1.8644048757640919,2.4299809374973473,2.829244394351405,5.149073558561793,6.864122713097684,2.6479579486826443,3.475191054069651,2.956757524810691,3.215722026376922,2.014526376104795,4.236692459006276,2.9009421991832127,3.508652665501774,2.9767938917951073,3.6155467468568374,2.454945770500401,3.6012244680814827,4.108349336551504,4.074385982434725,4.622588979260344,3.1064027460443517,3.7019282840193504,3.500498433243039
 TBAL2,1.412083440219367,1.7628100196014809,1.615033636436862,1.6593433462667213,1.832321799095112,1.741790426200044,1.1342002618784857,2.1094191251472822,0.0,2.7222992472847203,1.5409869254531332,1.3776933229508737,1.44676835956302,1.5406573220203568,5.1364906387990645,3.8814108197647252,7.276585601374198,8.98572647217964,9.967389775394377,8.763307025643423,2.523809375337791,2.5699795769994833,2.330935958370203,1.7050359410771532,2.7578552497295394,3.4078728942223737,4.392513675354251,5.445256729404959,3.396874238064769,3.684648024385189,4.211609078366118,2.612797240901377,2.1954233405834014,2.581346380169677,2.5775073150771313,2.9801744304338125,1.831034901771796,2.3984161202321665,1.6910254110606542,2.6593060137807942,2.997156663507392,2.3079263250764352,2.288801748959059,1.8004080242183726,1.8428230528775171,1.8159538510229871
 TBAL1,1.7705125666936679,1.6032154854117344,2.1143029761138212,1.9062165007838596,1.2824835928992875,1.3706957012720924,1.9252071177740007,1.7800694453923223,2.7222992472847203,0.0,1.321799411538379,1.2833902743622843,1.2413652123511423,1.5273403418141343,2.1509520307654575,4.215963262046804,3.47639730307401,3.1400598823124852,2.6772508848599186,3.9675431109589354,3.2221783472227,3.6857770582311695,2.4991745152088454,1.2212768423364975,2.3451774838630777,2.650174130842934,3.701216749728066,4.063280722561114,3.1009364047182575,4.284540825915792,3.8509886117601324,2.733443554513923,1.8381034015685773,3.1503572127268944,3.351260331887928,4.862361238824657,2.3499874302272636,2.120730597080175,1.8530943592619595,2.836742120246538,1.714729406712285,1.7447366337937085,1.9283531021332896,2.190627965928173,1.9610337314235378,1.944227915870794
