, TLL06, TLL05, TLL04, TLL03, TLL02, TLL01, TBAL4, TBAL3, TBAL2, TBAL1, TBPL4, TBPL3, TBPL2, TBPL1, TL10, TL09, TL08, TL07, TL06, TL05, TL04, TL03, TL02, TL01, TR01, TR02, TR03, TR04, TR05, TR06, TR07, TR08, TR09, TR10, TBPR1, TBPR2, TBPR3, TBPR4, TBAR3, TBAR4, TLR01, TLR02, TLR03, TLR04, TLR05, TLR06
 TLL06,0.0,1.1222860517752813,1.0983746766134859,1.0501853225202615,1.1663461456612985,1.1229364441315666,1.1688157004534288,1.1060771508533698,1.7846620498877919,1.6550306540363626,1.5080309280487616,1.212581094183764,1.2057433539139748,1.2228882666178351,1.2227981150035159,2.3905175074792875,26.927299074635705,1.2263274293319906,4.928636123418535,29.88487407823529,1.4524999218613943,1.5822181735213676,1.4406096824493206,2.475351646960004,1.6056031756761244,1.3733147227469888,1.295262564610229,1.3353247406310196,1.201542310818964,1.6863410092276372,1.736211625451599,1.9571620214751098,1.3010579124627841,11.994434827041223,1.0805427869027275,1.1393037877372847,1.3100221201419353,2.692305596184584,61.52167544560103,1.7271855128829823,1.6453023393900323,1.4551354726474015,1.1013659392924415,3.2446849775961404,1.180331265174416,1.5817882656693576
 TLL05,1.1222860517752813,0.0,1.0560979434266824,1.1303973245445176,1.246166749522844,1.3363684354383765,1.4211694483217414,1.1665900542235859,3.426608877181792,1.296667689539625,1.2848837603396999,1.159280410920496,1.171006557296892,1.39217644461584,1.357236874326477,3.8595281815260174,1118.0018739774846,1.3242305442879032,2.6723007947744946,6.625072716007493,1.267519737943984,1.3039583106254236,1.6988699280464115,4.446409851209945,1.308218837720877,1.2075390294054524,1.152096644546752,1.1426141235726495,1.0972612489904634,1.3619955749585755,1.4278272733487596,1.574057935924617,1.4626268332052361,86.26365424827414,1.146423892501664,1.2029453604489333,1.4504041886945007,2.487102716835314,8.652172146893653,1.4991999967981737,1.8135026507880845,1.540955918812156,1.0875038767864516,2.439828375609993,1.1369695301184237,1.4145092527625895
 TLL04,1.0983746766134859,1.0560979434266824,0.0,1.067508607193913,1.1263910413622926,1.2120866232197636,1.3826932722218137,1.1363907706021084,2.9186139808135994,1.3557221401408863,1.2720305855412046,1.1067998543110211,1.144910659883775,1.3935339519342331,1.3109606813518753,4.301827994264378,82.24036615153337,1.3925140710534312,2.247570400948253,5.135540283943845,1.2128385251939795,1.274806243283291,1.826975735852891,5.311398193102066,1.2499441450292417,1.142937475715047,1.1188551486982052,1.1211874819953793,1.05836671553807,1.3511687273580244,1.4109768632187245,1.549209174875873,1.3791006055951458,36.519601191016875,1.0856845076063668,1.1606733723968732,1.39782528054228,2.320566509787973,15.54553703797592,1.4078204852412026,1.75738251664276,1.4999891502368734,1.038820238023164,2.1816649780556365,1.0738910875604806,1.3076934861855094
 TLL03,1.0501853225202615,1.1303973245445176,1.067508607193913,0.0,1.0648756498357699,1.0693742586673392,1.2431141525538456,1.1050787085936182,1.8554102577612896,1.6336121305803946,1.4708972422830338,1.1644955570742195,1.1726410106997318,1.3758595853137243,1.2673232830006969,2.506445957547001,58.67815312682371,1.296549467270061,3.3911098707234006,20.063660279320953,1.3532273160261195,1.4462945322986254,1.5457593867346875,2.9353994376853545,1.4461814690274561,1.2466813408237696,1.178423618030603,1.2659263589360834,1.1182499500522756,1.7236808541183517,1.850657620194771,2.1625265081917724,1.1638895485335832,16.948318633998024,1.0665834016769442,1.0763560474432445,1.185906623915603,2.130349226423366,10.676158661642322,1.7136712418128859,1.3824997387004894,1.247675579771234,1.0501710942549407,4.144003643861632,1.1352099770778972,1.6560871914125683
 TLL02,1.1663461456612985,1.246166749522844,1.1263910413622926,1.0648756498357699,0.0,1.1920672751815475,1.3972781337316125,1.1671021509816928,2.1524510045360126,1.6062066461485645,1.434168563428998,1.2164570718451726,1.2392870711053314,1.6987672497193322,1.3795713850245743,3.030597919249272,28.594956472817543,1.4665978151864625,3.02025637559673,10.04149186364046,1.4143842847697141,1.5226199526445459,1.6658918896958244,3.0171976135842193,1.29561267889262,1.18749907563861,1.1975996052705646,1.3223951074629763,1.167633075451771,1.7909193350144774,1.9694639256145423,2.325888277133598,1.2543669689961914,41.19337937369201,1.1664563349452062,1.1451487989724702,1.3274985499554393,2.079429692013791,12.54222495066324,1.584893545049993,1.4978371112660036,1.3761831908195388,1.0941671149571606,3.580972412223541,1.1618932065106602,1.60495928521709
 TLL01,1.1229364441315666,1.3363684354383765,1.2120866232197636,1.0693742586673392,1.1920672751815475,0.0,1.2384607831539003,1.2456125834703706,1.5199747817997398,2.437940056616285,2.085125645028453,1.4008719921486945,1.4180845285909895,1.3510003156239203,1.3202341763582022,1.9786631506267258,36.782576396477985,1.3638705561154991,7.13686342456446,9.536977854228946,1.7611762443633134,1.8856041048028025,1.6069286911072957,2.5407834392222153,1.954776651890357,1.5397546490030147,1.4029752287418509,1.5914796649492984,1.3126290262132405,2.4573519639754724,2.585287601346217,3.272486915565941,1.1854978380801464,7.882211244968533,1.138922805514473,1.18352810795237,1.2313710582906872,2.7064151787477955,4.4667596044280256,2.2559863142535383,1.4890376202117603,1.338110106650254,1.1808176789451494,5.350960380684603,1.265375803655612,1.9667497554724969
 TBAL4,1.1688157004534288,1.4211694483217414,1.3826932722218137,1.2431141525538456,1.3972781337316125,1.2384607831539003,0.0,1.2059625732034849,1.2065930810817207,3.705512628766092,3.0621695793031303,1.7919261098724737,1.6210102469078105,1.1939853573294619,1.1225549756593338,1.506747673725754,12.138902267611257,1.1659522189906621,5.741983369941393,2.4465308378032926,2.4358867469777987,3.0045838420596964,1.1829747265125556,1.4475516691158699,2.4399239196581455,1.9214820068573912,1.8249139677538613,1.9638189363384353,1.5985984425987843,2.622765196946057,2.5998938544691224,3.016436713991319,1.475370938786635,6.956044452565249,1.2349229822302212,1.3848597555099427,1.442042079961571,4.379162361284643,5.003839373705056,2.649034857099251,2.0253862326655403,1.7888253985314795,1.3772959790137607,6.015596390105185,1.5003291271519779,2.3785483423972416
 TBAL3,1.1060771508533698,1.1665900542235859,1.1363907706021084,1.1050787085936182,1.1671021509816928,1.2456125834703706,1.2059625732034849,0.0,1.9575536248707164,1.4838353036730578,1.3874394632008547,1.1497150650187105,1.1468852862791044,1.3819252001257119,1.2476874552087271,2.653554137410518,30.315088139650083,1.2629884706327026,4.526978799066167,208.36330086510736,1.414450175297986,1.6196018889846449,1.409857046206495,2.3946123433778697,1.5186920603515124,1.3305777776483605,1.2933436897428143,1.313537269330255,1.2039813060789442,1.6187726892098742,1.7348768175189662,1.9510715725579437,1.3712988110697832,22.437244935031444,1.16842583267011,1.197218490897892,1.3108745086586988,2.379124707726796,10.710363745662256,1.7385843633282987,1.5784126786389647,1.3742799306365934,1.1488933514172934,4.346134490073985,1.2281716893994898,1.7818165364868142
 TBAL2,1.7846620498877919,3.426608877181792,2.9186139808135994,1.8554102577612896,2.1524510045360126,1.5199747817997398,1.2065930810817207,1.9575536248707164,0.0,6.193284283560027,7.964389653345772,5.521441884108843,3.8958689075009425,1.653257340000377,1.478186031675603,1.3284619704628022,49.487379810180535,1.5511435925893253,2.126049306732747,1.5679757073185514,29.963013914319145,28.204961530061986,1.387033317988657,1.3265317032882982,17.5382676238664,5.735066792570128,4.522494907453649,11.465966474214074,3.7542629726095242,31.056861502562004,65.31559653233842,15.66004810215051,1.7695081704134992,7.557515381661121,1.8147900563528965,2.1054581360518325,1.7364257403102081,6.921130667017787,2.3105025364271805,34.239164536710696,2.676208220852462,2.4876002499766225,2.563760826960208,8.580422105877444,3.039876543228654,18.844154967397888
 TBAL1,1.6550306540363626,1.296667689539625,1.3557221401408863,1.6336121305803946,1.6062066461485645,2.437940056616285,3.705512628766092,1.4838353036730578,6.193284283560027,0.0,1.0667941051380376,1.1649170251877523,1.244750058133888,2.813530056322306,2.780797520982853,5.4329880583358126,22.010718975579895,2.5445233911148923,1.4835648879709866,1.817304696352373,1.2104601455160722,1.2205705193891176,4.3480090343335025,6.753217219269065,1.256828297825004,1.2922700853045381,1.2853157724309188,1.2588431633518986,1.3027918687728959,1.4202180006411813,1.53248717841039,1.6621188552772854,2.312422993071832,10.25072578935097,1.720107900212442,1.600386204274794,2.562769686653249,2.6134806079966624,2.978733779635263,1.4696029487843734,2.6998428745097716,2.30959105385886,1.3968741210052726,2.1422665095300757,1.3915298496357142,1.4431983587991637
