, TLL06, TLL05, TLL04, TLL03, TLL02, TLL01, TBAL4, TBAL3, TBAL2, TBAL1, TBPL4, TBPL3, TBPL2, TBPL1, TL10, TL09, TL08, TL07, TL06, TL05, TL04, TL03, TL02, TL01, TR01, TR02, TR03, TR04, TR05, TR06, TR07, TR08, TR09, TR10, TBPR1, TBPR2, TBPR3, TBPR4, TBAR3, TBAR4, TLR01, TLR02, TLR03, TLR04, TLR05, TLR06
 TLL06,0.0,1.231400350238498,1.5267657089738902,1.5896513537079169,1.6847013018103554,1.605913539418079,1.433904270098564,1.5092391255560764,1.4854576054378865,1.87333940939276,1.5408432962689533,1.5837005545956953,2.0206284865430715,2.095491672298449,2.097938377106532,5.6822062246341325,5.270486193229917,6.000128623485393,6.303292396455506,1.8177656612017978,1.9400631208936383,2.3714800150619397,2.26876207488281,1.481765530055071,2.06316013977461,2.3195453874431537,1.9433053924574188,1.6649323933072349,2.049794717677514,1.5131125987336849,1.5016740350740914,1.9993471214799428,2.0497847767010673,1.9983341530357663,3.3922400209930776,3.7146023873817926,2.438177848153459,2.316224099558512,16.280760946443863,1.6960169963056981,1.5409642808002526,1.9094984927088188,2.1226365746326663,2.4293300559145146,2.2573543260918716,1.7160098720656822
 TLL05,1.231400350238498,0.0,1.4142273470531992,2.1524190927517455,2.0764201302656775,2.097135646311839,1.7211046383504987,1.8211852789163527,2.154133606964519,2.023336271954955,1.7429751273956073,1.7299161873106603,2.158874360650769,2.0632532962471,2.482787632479482,7.476656427117723,5.802599050856422,6.517606749904493,5.972729343607547,2.3577915355792176,2.5575934106390172,3.180131241143327,2.90756766329686,1.6220657138641335,2.059098258469722,2.291464676336642,2.0807858653796543,1.8215898103361887,1.9729065440375715,1.6890434178229086,1.8121009226664249,2.054344357210648,1.9712443792082763,1.9539720189107508,6.566124360420815,3.2465764097836156,2.262206835971257,2.5497841130740384,10.327336969703214,1.8078175644119685,1.8977834671937832,2.2823809906683103,2.7774614675312916,2.616858829685889,2.443265790369669,1.8734661721677637
 TLL04,1.5267657089738902,1.4142273470531992,0.0,1.2765361097817787,1.5685942094759773,1.5199613358301682,1.9583764613339536,1.874746567823203,1.7676980408025593,2.048477315611997,1.9588632537462312,1.8635986343902706,2.0293636380415516,2.2647518733916527,3.2297241174390394,16.019207776592175,24.369877579961987,14.186981656250719,10.55512121047977,2.5987062295946535,2.1366323422158566,2.8925892676119878,2.6495970676642884,1.6963243608860004,3.0119840206716284,3.6074155329648594,2.708664665059209,2.1319920699849773,3.4234849554737457,1.9781696507078332,1.6893091713838166,2.879336154346505,2.899167373215941,2.8066280674489588,14.222381557332717,4.042096604243911,2.801600332777513,2.7843163722145317,4.114671350853824,2.241802962726166,1.938210358313085,2.6218213473712106,3.502513022153757,2.9190201848452975,2.4118229176559076,1.8975171026003848
 TLL03,1.5896513537079169,2.1524190927517455,1.2765361097817787,0.0,1.299248647945176,1.2738083350162124,1.8776041519974769,1.848301404408403,1.7056295483474133,2.180331039720245,2.0974107296716245,2.0639047991883515,2.3531372213818167,3.215506516439441,3.276941253359822,7.624271007293006,10.345832035462104,7.528325015307949,6.365132893811712,2.4826985860598696,1.9826583577386465,2.6126357523317223,2.521082664517049,1.7838695221609429,4.3843013320654425,5.703252029324907,3.3942814606159994,2.489987231762933,4.714046869763365,2.1801975747548483,1.7300533729106058,3.6809494739118978,3.7137953738825926,3.6534403905092843,4.153317905075805,3.926536088386661,3.1991041754950804,3.2531687045440894,5.061355296419688,2.5857029569467076,2.0659613177334735,2.1854618492524422,2.717520727407423,3.0018074808318733,2.6954875680762713,2.149221664817742
 TLL02,1.6847013018103554,2.0764201302656775,1.5685942094759773,1.299248647945176,0.0,1.0751464695094972,1.7052611683610477,1.8041338782476726,2.088834148871014,1.9216574144607639,1.973863966848767,2.024671498154288,2.276012705849437,2.9010031854017706,2.2204725692394085,76.94627618237683,29.765996827870712,87.27297133950464,21.3216061774295,2.043458301990476,1.9114861348477823,2.440986427306041,2.413650427927286,1.6117275961891957,2.3577443757149688,2.36662851136581,1.9176468751651188,1.7406898693860478,2.2004849729964286,1.756470625529805,1.6789332527230618,2.193368597814945,2.073337788477592,2.1883957266636904,3.328843409810875,3.543358344756823,2.792062256542978,2.5567293604973598,7.2051813876188255,2.014442348840258,1.9466414801595766,1.8849294130765737,2.1068059412676536,2.436531779265554,2.169355129752918,1.9534584100721093
 TLL01,1.605913539418079,2.097135646311839,1.5199613358301682,1.2738083350162124,1.0751464695094972,0.0,1.7607026025588506,1.841393278284205,2.1309903658033185,2.024398183029818,2.022014354067477,2.0353530498854475,2.3673975247361887,3.283525657583091,2.368876635187886,447.79545380632055,73.97191266727754,93.93713416362009,41.83643270853556,2.1783192750192617,1.9680319106125055,2.495157191358581,2.415732445502339,1.6962204936258136,2.840217441359835,2.978727838180513,2.256765440941503,1.9159719965979773,2.627982848304768,1.8487539129801782,1.6863587435259155,2.4446981703999024,2.329620212590407,2.47928068393666,3.915735350063119,3.5675236692294874,2.865544040828682,2.693880402409588,5.667330383296785,2.1952923997724607,1.9565814124011587,1.9189670805227148,2.2391719224197715,2.1480238699907437,1.9829761842811775,1.892071092931013
 TBAL4,1.433904270098564,1.7211046383504987,1.9583764613339536,1.8776041519974769,1.7052611683610477,1.7607026025588506,0.0,1.0760410508342426,1.3820947918552402,1.2979493066677794,1.1115543904030913,1.150609504952927,1.4023553345297317,2.0501019476441087,1.665418064675095,17.750240396910403,54.65926237572543,455.08963009698124,19.6068597647213,1.3895181919068853,1.2585862798831107,1.3528258032443148,1.3119467913801934,1.2755529758365494,1.7691553709065924,1.9118354098284007,1.7231344918261053,1.534382945436323,1.5766331964369744,1.4074199181640916,1.5133035166309883,1.665595231959578,1.6140596652476933,1.6372316369408495,2.6342555689769793,2.653065448183629,1.9357463283780127,2.0061458934998897,9.986721833358688,1.4278153889030303,1.5111851171598993,1.497135499817949,1.576676579969574,2.41939015325053,2.245670110325287,1.8889583259081946
 TBAL3,1.5092391255560764,1.8211852789163527,1.874746567823203,1.848301404408403,1.8041338782476726,1.841393278284205,1.0760410508342426,0.0,1.3606736944751407,1.2732991092708408,1.0784596292410134,1.1177807802102895,1.3259262666165945,1.9426148630920268,1.9430517651139732,42.38614842775237,12.932905520919071,13.34458693872867,28.282678806366988,1.5555067935429205,1.3247395566586748,1.4739973848424033,1.3909255403515797,1.2703807036661445,1.847994688610659,2.015382586238727,1.7940750619524644,1.562338373945128,1.6588287811342255,1.4467613260919878,1.5305521927815429,1.735686335098291,1.7178976953313116,1.7689711700231947,2.890822639621041,2.708089744486833,1.9198980825030272,1.9845333969766201,6.96952360801313,1.4617872225209732,1.63268703295768,1.5106824489622255,1.7340750801177651,2.4222810493456826,2.279238913038436,1.882347405845778
 TBAL2,1.4854576054378865,2.154133606964519,1.7676980408025593,1.7056295483474133,2.088834148871014,2.1309903658033185,1.3820947918552402,1.3606736944751407,0.0,1.676259194432503,1.3809578234877857,1.3286785696904202,1.4288856440030735,1.873192829622348,2.2878958904133,161.762571292309,9.965965382269315,11.922396085446115,61.453319416444494,1.570242306164579,1.3444233733207576,1.418147088455917,1.393016256716524,1.3776296578282954,2.1825021410880914,2.463770893418681,1.934435196473867,1.5925660080728907,2.376197518882308,1.5222568112434662,1.4071757366449977,2.0864419623271786,2.310887017380109,2.140733772150096,3.2200378347789047,3.479943786745679,2.3779242446945372,2.231838696069514,11.328718252006484,1.883513189396595,1.732289149208297,1.931601445208914,1.9626043534867028,3.041295489630602,2.908101216661144,2.0685447603117058
 TBAL1,1.87333940939276,2.023336271954955,2.048477315611997,2.180331039720245,1.9216574144607639,2.024398183029818,1.2979493066677794,1.2732991092708408,1.676259194432503,0.0,1.2591223176079818,1.169933278533018,1.1716345480379278,1.5377613626003173,1.7886343058519265,32.29820746686717,33.673544546818405,180.4250664297715,35.030370224296455,1.4351859186365843,1.3505710896053913,1.4273568888833033,1.3775113594067008,1.167299139434092,1.6457472764402623,1.7471254400241472,1.6127140607729673,1.4874822106608758,1.3947376456555047,1.3585913212184177,1.533935664315765,1.4645578972782487,1.3902741365829092,1.4422978146951722,2.6384210832851345,2.5162024685701843,1.9374813486360292,1.9812834625729439,6.655715863976618,1.4268808390192695,1.7183111857551252,1.4160529931184287,1.6422085943973397,2.029655509234792,2.076517412371271,1.7490641880379338
