, TLL06, TLL05, TLL04, TLL03, TLL02, TLL01, TBAL4, TBAL3, TBAL2, TBAL1, TBPL4, TBPL3, TBPL2, TBPL1, TL10, TL09, TL08, TL07, TL06, TL05, TL04, TL03, TL02, TL01, TR01, TR02, TR03, TR04, TR05, TR06, TR07, TR08, TR09, TR10, TBPR1, TBPR2, TBPR3, TBPR4, TBAR3, TBAR4, TLR01, TLR02, TLR03, TLR04, TLR05, TLR06
 TLL06,0.0,1.4975351280773448,1.3807238076976105,1.5985828430420823,1.601436298263576,1.5875398737723367,1.5250204813683932,1.9304576253289545,2.1762154576833583,1.548301264014972,1.5280289157434406,1.5542578875051503,2.0672375313551066,4.5952615202694425,14.177605386102394,4.703457952091175,14.031395190766967,5.114022632295483,21.189832248600606,1.7619068130840778,1.4557018725144155,1.4269990182200334,1.7129948651142286,1.7241354663170965,1.6117454726733762,1.5552995741646165,1.5826336295468808,1.53710414033169,14.764815825958442,13.343193208153192,6.439522268396119,6.28460086929454,7.478962335083571,7.6812994039145215,2.1973995322948907,1.851318921329731,1.489041423787264,2.3832771294484547,1.5543490371273132,20.605027403340248,8.240546921152522,8.519260563426288,1.9523718924489972,1.7981355172714328,2.1725729624901517,1.7294362778724588
 TLL05,1.4975351280773448,0.0,1.7185753639195176,1.1569676099147237,1.3505391262623754,1.8116648733964604,3.2912833458070936,1.7279637847443647,2.163480090689222,1.5329755471015256,1.5460463611970847,1.579508123680243,1.467314590926157,2.1887576799706245,12.674979960599012,5.040252823977199,20.13787237385088,5.66604395539919,24.374881562986676,1.4867146696717672,1.3293091835093305,1.321384196239058,1.4746934673943553,1.259944350683468,1.589088526094706,1.5603144616656213,1.4258628030543874,1.4986010667421548,12.957101753271193,13.379594790847833,5.373260356927875,6.16256118816345,5.818416102201951,9.294843806385513,1.689466871087571,2.0850625845463497,1.4293897941920575,1.6002913118714026,1.8194757719785866,8.397279902156898,2.9525825614997667,4.585980531905452,1.5257915353535956,2.969500912766293,2.7165413330691472,1.9542265113914783
 TLL04,1.3807238076976105,1.7185753639195176,0.0,1.3229425524116218,1.3536335904293515,1.1529294207452974,1.436003484077586,1.7436919409365415,3.3185640329745008,1.2974986332017306,1.5093425071520525,1.340874274815305,1.945687908412851,4.088575504102425,67.56524923994779,10.797492223743896,7.13467602709423,8.076850846936832,6.425532523230531,2.61753574923927,1.5522937668982528,1.3416456940132224,1.2034219919590199,1.6777285769883044,1.2406220839493192,1.2360692192665335,1.3190089257289856,1.3313255924224587,10.141460343732993,13.448529818981658,6.359521803311038,50.33305360063067,8.570906429205046,6.851699050268448,1.569123057982882,1.4102718671608112,1.3938738918349853,1.7153215008235918,1.1831261367632022,3.711825993792959,6.396623147840473,15.335322659674581,1.6921789283065232,1.2218723428928888,1.3326606500841547,1.266422223109929
 TLL03,1.5985828430420823,1.1569676099147237,1.3229425524116218,0.0,1.224600714783023,1.3650636317769258,2.5737275854257136,1.4337575835991005,3.0416576189018665,1.3675804366119526,1.3832035924006238,1.4104894581171439,1.5439267688859848,2.3361848143687944,28.089378613662365,10.60812449998542,8.07255071051559,8.380068271458688,30.759155353547264,1.745220425271791,1.3179718784381886,1.2288750890203137,1.2017508321152175,1.2045294821937822,1.2605749467640353,1.2767069652859233,1.2180608615998039,1.2827059624061679,12.411573664243429,11.285445844229425,7.28266226599596,234.16202802951238,6.730793463576962,7.525372089885289,1.4462717432948637,1.5198193063321084,1.2662338703524938,1.3538488615591975,1.2947769801758806,8.104003481697562,4.717296235885659,3.878557972166284,1.3626409027041428,1.8955347857756164,1.7714981092503344,1.4880128396274743
 TLL02,1.601436298263576,1.3505391262623754,1.3536335904293515,1.224600714783023,0.0,1.1218096103201998,1.68296089069567,1.6745613514376543,1.6347375485921227,1.1304886088750485,1.1121173199646215,1.086263432398462,1.1694705728843464,1.5462263616961407,6.27692931117816,55.90533707251803,9.291621880951045,42.00454874096292,1999.0559625825179,1.2794601160218835,1.1008472104306206,1.0799748786622003,1.1546552783824873,1.2788503635100363,1.0858434503520245,1.0623402100269321,1.0650692555678485,1.0577749482222107,9.344835301891182,11.918957503600428,2.8673875065274106,9.40668860319216,6.8141580078631945,12.167189173263186,1.3501160349401153,1.3721199247570368,1.0935701474604167,1.2171381541300443,1.2115321510598172,10.870282526069413,7.687175757938105,2.171326752297339,1.0859164336375235,1.387583479391422,1.314915371270355,1.155860270790694
 TLL01,1.5875398737723367,1.8116648733964604,1.1529294207452974,1.3650636317769258,1.1218096103201998,0.0,1.5933559321926718,1.8291376123090037,2.315824668933166,1.1342203854600423,1.3056638835597394,1.1704898292340755,1.4368751068145211,1.6908798665895062,11.19197966710256,96.21491093938454,3551.976077333082,119.02234226165933,8.068724790678113,1.6617503544771801,1.2571107772313703,1.1896982710614408,1.1339409763774906,1.5191735253842527,1.1306092013402187,1.0984702475682258,1.1457584734215949,1.1356436082259034,10.658815943404534,15.943497093636093,5.070867720938946,94.88290333554416,9.446481586956095,280.9794996911314,1.343199194079266,1.4301908752877506,1.3020969131558227,1.2333035935812715,1.1190907829410992,5.376104303519865,100.93767112059376,2.6537249672742718,1.2104502615333612,1.2324412445643262,1.2334553891523767,1.1384174292304552
 TBAL4,1.5250204813683932,3.2912833458070936,1.436003484077586,2.5737275854257136,1.68296089069567,1.5933559321926718,0.0,1.8472110387998328,1.7158342942320601,1.499605854936447,1.4559283083510075,1.34430295377556,1.8467585709890073,9.011563548582192,8.924792387188958,2.9844709829537255,25.888601866134515,3.544153517776261,50.3152698378743,2.2720440613256256,1.8097818560967946,1.6943276801575073,1.830582708118856,2.8564664772161326,1.4497478435573867,1.4923131607782083,1.6834600910694089,1.5288041531492549,15.165783382064578,19.293766535038145,2.0419925231923903,3.2383461167612886,17.012305981625875,6.87114842206214,3.298469187783569,1.594560143260348,1.5526989726678468,3.282027990895243,1.602678323641348,12.474411362386727,2.6070757286466884,8.099346026308053,2.128497687208659,1.2282211992739225,1.411636859372081,1.299657498687264
 TBAL3,1.9304576253289545,1.7279637847443647,1.7436919409365415,1.4337575835991005,1.6745613514376543,1.8291376123090037,1.8472110387998328,0.0,3.6959509338465657,1.290734641385235,1.5965652446383953,1.4787119396910813,1.4229585656775414,5.354347419812176,6.630598707474661,2.488752252827998,1.7853608627697417,1.9226621360225005,6.9705344057373235,1.9578770394708898,1.4820887008000574,1.437314728821517,1.4293712032927077,1.4229119438528763,1.5115798760469863,1.635016412008961,1.4755763407718643,1.514791073041196,467.05223774161635,74.97248146411245,2.8514383462328308,21.1614466821562,20.408453548845777,1.6851948220711916,2.5822283637471553,2.387832198616937,1.635553866660916,2.126268661957632,1.8730234969807849,6.920099080387276,275.9113561415823,4.18909685815856,1.7881586928961135,2.3101380124879753,2.527548061117764,1.7213070857743402
 TBAL2,2.1762154576833583,2.163480090689222,3.3185640329745008,3.0416576189018665,1.6347375485921227,2.315824668933166,1.7158342942320601,3.6959509338465657,0.0,1.7462256754184122,1.5541177962313655,1.5574977182314556,1.4875883804721028,1.95913252558498,3.0241673470486403,3.050847620568044,2.3172785449936244,9.092699817054237,8.658978682417327,1.2147116174312402,1.437183205737221,1.6491006064078435,2.5166396044970574,2.134250896445371,1.7605673788919904,1.6762837913961406,1.6857705440012345,1.561382717826408,14.933071553142062,12.964161992793432,2.4100454357246717,1.4610412864941433,8.487449717219402,4.15970550481713,2.597444968367267,1.9703907989485323,1.6086442896444038,2.018576569723043,2.327054341743606,3.5900823090907754,4.0056052474851445,1.8793106119865663,1.510675344052708,2.9702159318000887,2.4437123921465917,1.903447198496564
 TBAL1,1.548301264014972,1.5329755471015256,1.2974986332017306,1.3675804366119526,1.1304886088750485,1.1342203854600423,1.499605854936447,1.290734641385235,1.7462256754184122,0.0,1.2460147273352904,1.1007697046820069,1.135739047568001,1.7562858565705923,23.13008332604842,4.6906940944076885,5.92493688046433,4.337357748153499,23.527308726945407,1.334949636945223,1.1103803909036278,1.087748281115081,1.1098153564634827,1.2405332677670082,1.1305791404635468,1.1245935290375333,1.1096877215509442,1.1121664905491282,12.694358622047616,15.304359425706588,2.859285216512543,12.618225439750855,10.438219585958011,4.755531171446462,1.4964451945133082,1.646565870233354,1.2506423365685932,1.3130838348366647,1.2745696729652067,12.581941643959764,18.561584609745957,2.483205744006817,1.1979359395652365,1.464651539599086,1.4721948378958394,1.2020174015723324
